Journal ID,Account Number,Amount,Posting Date,Effective Date,User,Debit/Credit,JE Narration
JE-0059,2001,3400.00,2024-03-31,2024-03-31,mwilson,CR,Marketing expense Q1 accrual close
JE-0060,2100,9500.00,2024-03-31,2024-03-31,jsmith,DR,Final Q1 liability adjustment entry
JE-0060,2001,9500.00,2024-03-31,2024-03-31,jsmith,CR,Final Q1 liability adjustment entry
JE-0061,1001,5000.00,2024-03-31,2024-03-31,mwilson,DR,Quarterly cash reconciliation transfer
JE-0061,1100,5000.00,2024-03-31,2024-03-31,mwilson,CR,Quarterly cash reconciliation transfer
JE-0062,5001,2890.00,2024-04-02,2024-04-02,rjones,DR,April operating expenses general
JE-0062,1001,2890.00,2024-04-02,2024-04-02,rjones,CR,April operating expenses general
JE-0063,1100,28000.00,2024-04-04,2024-04-04,mwilson,DR,Revenue recognition INV-5301
JE-0063,4001,28000.00,2024-04-04,2024-04-04,mwilson,CR,Revenue recognition INV-5301
JE-0099,5001,1500.00,2024-03-17,2024-03-17,jsmith,DR,Miscellaneous expense reclassification
